City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bengkulu,ID,77.25,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
3,Mount Gambier,AU,84.11,light rain,-37.8333,140.7667,The Commodore
5,Colon,PA,79.25,clear sky,9.3592,-79.9014,Sand Diamond Hotel
6,Viedma,AR,92.07,clear sky,-40.8135,-62.9967,Hotel Cristal
9,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
10,Ninh Binh,VN,63.7,overcast clouds,20.2539,105.975,Kinh Do Hotel
11,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Antalaha,MG,75.65,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
14,Busselton,AU,69.04,few clouds,-33.65,115.3333,Observatory Guest House
15,Hobyo,SO,76.26,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
16,Hobart,AU,70.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
17,Broken Hill,AU,92.91,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
18,Saldanha,ZA,64.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
20,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
21,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
23,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
27,Nyimba,ZM,68.13,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
28,Kavieng,PG,84.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Yenangyaung,MM,64.56,few clouds,20.4667,94.8833,Hotel Country
32,Port Moresby,PG,89.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
34,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
35,Malumfashi,NG,66.04,clear sky,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
40,Gat,IL,61.39,broken clouds,31.61,34.7642,OlusHome
41,San Cayetano,CO,77.88,scattered clouds,7.8771,-72.6243,Finca El Limonar
44,Rikitea,PF,77.14,light rain,-23.1203,-134.9692,People ThankYou
45,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Chuy,UY,69.19,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
50,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
56,Atuona,PF,77.76,clear sky,-9.8,-139.0333,Villa Enata
57,Puerto Ayora,EC,74.41,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
59,Kaduqli,SD,80.38,clear sky,11.0167,29.7167,فندق الله جابو
63,Chingola,ZM,62.01,light rain,-12.529,27.8838,Protea Hotel by Marriott Chingola
64,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
68,Saint George,US,60.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
70,Bhandaria,BD,62.91,overcast clouds,22.4861,90.0609,Syfur Rahman
71,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
74,Bredasdorp,ZA,67.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
75,Lamu,KE,77.05,overcast clouds,-2.2717,40.902,Lamu House
76,Codrington,AU,86.04,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
77,Traralgon,AU,79.9,few clouds,-38.1833,146.5333,Comfort Inn Traralgon
78,Port Alfred,ZA,70.48,overcast clouds,-33.5906,26.891,The Halyards Hotel
83,Coquimbo,CL,63.7,few clouds,-29.9533,-71.3436,Hostel Del Puerto
96,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
99,Saint-Pierre,RE,77.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
101,Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
103,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
104,Hermanus,ZA,69.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
107,San Fernando,PH,79.14,broken clouds,15.0286,120.6898,Maharlika Hostel
108,Caravelas,BR,74.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
113,Mar Del Plata,AR,74.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
114,Basco,PH,70.84,broken clouds,20.4487,121.9702,Nathaniel's Lodge
117,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
118,Mackay,AU,86.68,scattered clouds,-21.15,149.2,International Lodge Motel
120,Half Moon Bay,US,66.15,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
122,Kaeo,NZ,77.32,clear sky,-35.1,173.7833,Bushido Lodge
126,Sibolga,ID,78.04,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
127,Faanui,PF,77.41,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Rocha,UY,63.3,clear sky,-34.4833,-54.3333,Hotel Arrarte
132,New Norfolk,AU,69.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
133,Niono,ML,72.63,few clouds,14.2526,-5.993,Hôtel Campement
134,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality Esperance
135,Salalah,OM,69.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
136,Tagusao,PH,80.4,overcast clouds,9.1924,117.8141,Toledo
138,Biak,ID,81.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
139,Cabo San Lucas,MX,79.9,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Antonio Escobedo,MX,75.04,overcast clouds,20.8,-104.0167,Privada Pérez S
146,Beitbridge,ZW,73.49,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
148,Arraial Do Cabo,BR,76.15,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
149,Goma,CD,63.66,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
151,Te Anau,NZ,63.77,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
154,Atar,MR,69.85,overcast clouds,20.5169,-13.0499,Oumou Elghoura
155,Kattivakkam,IN,80.08,scattered clouds,13.2167,80.3167,Euronova Freezer
156,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
157,Ponta Do Sol,PT,63.72,scattered clouds,32.6667,-17.1,Hotel do Campo
168,Mmathubudukwane,BW,68.58,light rain,-24.6,26.4333,Gill Sleepover Guesthouse
169,Santa Cruz,BO,80.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
171,Mildura,AU,91.36,broken clouds,-34.2,142.15,Mercure Hotel Mildura
172,Port Blair,IN,79.97,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
174,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
175,Reconquista,AR,84.34,clear sky,-29.15,-59.65,Grand Hotel
176,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
177,Katherine,AU,75.52,moderate rain,-14.4667,132.2667,Pine Tree Motel
178,Santa Marta,CO,80.89,clear sky,11.2408,-74.199,Casa de Isabella
180,Nampula,MZ,70.38,overcast clouds,-15.1165,39.2666,BUTIK Hotel
183,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
184,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
192,Kavaratti,IN,78.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
195,Boueni,YT,80.58,overcast clouds,-12.9025,45.0761,The feet in water
197,Clarence Town,AU,82.62,scattered clouds,-32.5833,151.7833,River Downs Cottage
199,Santa Isabel Do Rio Negro,BR,77.94,overcast clouds,-0.4139,-65.0192,Hotel GSA
200,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
201,Lorengau,PG,85.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
203,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
204,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
206,Lima,PE,72.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
210,Saint-Philippe,RE,77.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
211,Banda Aceh,ID,78.8,scattered clouds,5.5577,95.3222,Sulthan Hotel International
213,Le Port,RE,77.61,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
216,Salvador,SV,77.04,broken clouds,13.8333,-88.9167,Chico's Ranch
218,Road Town,VG,73.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
219,Ambilobe,MG,74.73,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
222,Buin,CL,76.73,clear sky,-33.7333,-70.75,Paihuen
223,Honiara,SB,84.63,overcast clouds,-9.4333,159.95,Heritage Park Hotel
224,East London,ZA,71.02,overcast clouds,-33.0153,27.9116,Tu Casa
229,Sao Filipe,CV,72.36,overcast clouds,14.8961,-24.4956,Hotel Xaguate
230,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
232,Plaza De Caisan,PA,71.69,clear sky,8.7333,-82.8167,Rolando Peralta
235,Nuevo Progreso,MX,71.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
238,Ancud,CL,63.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
242,Bombay,IN,67.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
243,Puerto Carreno,CO,85.91,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
244,Port Augusta,AU,68.14,clear sky,-32.5,137.7667,Majestic Oasis Apartments
245,Sinazongwe,ZM,73.24,overcast clouds,-17.2614,27.4618,Lakeview Lodge
246,Marsh Harbour,BS,70.83,few clouds,26.5412,-77.0636,Abaco Beach Resort
251,Matamoros,MX,64.51,scattered clouds,25.5333,-103.25,Quinta Belem
252,Huambo,AO,60.37,overcast clouds,-12.7761,15.7392,SiSHotel
253,Guaymas,MX,76.46,scattered clouds,27.9333,-110.9,Hotel Armida
254,Soyo,AO,76.59,overcast clouds,-6.1349,12.3689,Hotel Mpampa
256,Puerto Madryn,AR,74.53,clear sky,-42.7692,-65.0385,Hotel Tolosa
257,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
258,Mecca,SA,73.83,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
260,San Patricio,US,63.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
265,Tramandai,BR,73.22,clear sky,-29.9847,-50.1336,Hotel Da Praia
268,Lae,PG,90.39,scattered clouds,-6.7221,146.9847,Phils Hotel
269,Puerto Escondido,MX,81.43,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
270,Catamarca,AR,85.64,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
271,Butaritari,KI,82.6,few clouds,3.0707,172.7902,Isles Sunset Lodge
272,Yanam,IN,70.12,overcast clouds,16.7333,82.2167,The Regency Hotel
273,Skeldon,GY,74.59,overcast clouds,5.8833,-57.1333,Classic International Hotel & Suites
275,Nelson Bay,AU,82.76,few clouds,-32.7167,152.15,Mantra Nelson Bay
277,Castro,BR,62.22,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
280,West Bay,KY,78.87,few clouds,19.3667,-81.4167,Calypso Cove
