City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,32.67,67,100,3.09,overcast clouds
1,Bengkulu,ID,-3.8004,102.2655,77.25,83,48,4.16,scattered clouds
2,Cap Malheureux,MU,-19.9842,57.6142,79.29,86,100,1.99,overcast clouds
3,Mount Gambier,AU,-37.8333,140.7667,84.11,42,40,9.22,light rain
4,Punta Arenas,CL,-53.15,-70.9167,50.11,46,40,23.02,scattered clouds
5,Colon,PA,9.3592,-79.9014,79.25,78,7,9.82,clear sky
6,Viedma,AR,-40.8135,-62.9967,92.07,18,0,10.87,clear sky
7,Teya,RU,60.3778,92.6267,-16.26,100,92,2.93,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,59.49,44,29,5.39,scattered clouds
9,Quatre Cocos,MU,-20.2078,57.7625,78.91,86,100,8.41,overcast clouds
10,Ninh Binh,VN,20.2539,105.975,63.7,86,100,8.39,overcast clouds
11,Vaini,TO,-21.2,-175.2,86.16,89,75,12.66,broken clouds
12,Antalaha,MG,-14.9003,50.2788,75.65,89,100,4.94,overcast clouds
13,Portland,US,45.5234,-122.6762,59.09,70,75,1.01,broken clouds
14,Busselton,AU,-33.65,115.3333,69.04,62,17,12.55,few clouds
15,Hobyo,SO,5.3505,48.5268,76.26,70,36,19.57,scattered clouds
16,Hobart,AU,-42.8794,147.3294,70.02,70,75,3.0,broken clouds
17,Broken Hill,AU,-31.95,141.4333,92.91,33,36,14.97,scattered clouds
18,Saldanha,ZA,-33.0117,17.9442,64.45,82,100,9.19,overcast clouds
19,Verkhnyaya Inta,RU,65.9811,60.3094,12.4,84,100,26.93,overcast clouds
20,Belmonte,BR,-15.8631,-38.8828,77.5,83,5,6.22,clear sky
21,Alofi,NU,-19.0595,-169.9187,84.09,74,75,10.36,broken clouds
22,Iskateley,RU,67.6803,53.1512,13.89,90,100,20.13,overcast clouds
23,Hithadhoo,MV,-0.6,73.0833,82.6,71,100,7.31,overcast clouds
24,Saint Anthony,US,45.0205,-93.218,33.73,83,40,0.0,scattered clouds
25,Yellowknife,CA,62.456,-114.3525,-7.58,83,100,4.61,light snow
26,Lebu,CL,-37.6167,-73.65,57.88,91,4,6.78,clear sky
27,Nyimba,ZM,-14.5566,30.8149,68.13,96,100,2.24,overcast clouds
28,Kavieng,PG,-2.5744,150.7967,84.52,68,100,9.73,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,44.26,65,75,19.57,broken clouds
30,Barrow,US,71.2906,-156.7887,-7.58,71,0,9.22,clear sky
31,Yenangyaung,MM,20.4667,94.8833,64.56,58,19,3.65,few clouds
32,Port Moresby,PG,-9.4431,147.1797,89.02,62,20,5.75,few clouds
33,Jackson,US,42.4165,-122.8345,56.44,59,0,0.0,clear sky
34,Maceio,BR,-9.6658,-35.7353,80.04,83,40,5.75,scattered clouds
35,Malumfashi,NG,11.7853,7.6218,66.04,22,0,6.85,clear sky
36,Provideniya,RU,64.3833,-173.3,6.91,66,0,20.13,clear sky
37,Chokurdakh,RU,70.6333,147.9167,-34.74,100,100,3.36,overcast clouds
38,Noshiro,JP,40.2039,140.0242,31.14,61,100,22.21,light snow
39,Hailun,CN,47.45,126.9333,-16.37,97,21,6.26,few clouds
40,Gat,IL,31.61,34.7642,61.39,43,69,6.96,broken clouds
41,San Cayetano,CO,7.8771,-72.6243,77.88,73,40,4.61,scattered clouds
42,Talnakh,RU,69.4865,88.3972,-3.8,98,100,12.8,light snow
43,Batagay,RU,67.6333,134.6333,-15.65,98,100,0.87,overcast clouds
44,Rikitea,PF,-23.1203,-134.9692,77.14,73,6,18.5,light rain
45,Kapaa,US,22.0752,-159.319,78.78,77,75,4.0,broken clouds
46,Viransehir,TR,37.2353,39.7631,47.53,95,100,6.44,overcast clouds
47,Chuy,UY,-33.6971,-53.4616,69.19,85,0,9.35,light rain
48,Egvekinot,RU,66.3167,-179.1667,-12.75,88,16,9.4,few clouds
49,Constantine,DZ,36.365,6.6147,38.61,93,75,6.91,broken clouds
50,Georgetown,MY,5.4112,100.3354,78.73,69,20,1.01,few clouds
51,Mangla,PK,31.8931,72.3817,48.56,44,5,1.03,clear sky
52,Zabol,AF,32.25,67.25,32.43,68,0,0.54,clear sky
53,Saskylakh,RU,71.9167,114.0833,-39.69,100,62,5.57,broken clouds
54,Bluff,NZ,-46.6,168.3333,59.81,69,78,9.82,broken clouds
55,Shanhetun,CN,44.7,127.2,-6.86,96,98,6.85,overcast clouds
56,Atuona,PF,-9.8,-139.0333,77.76,73,8,8.57,clear sky
57,Puerto Ayora,EC,-0.7393,-90.3518,74.41,81,53,7.67,broken clouds
58,Acapulco,MX,16.8634,-99.8901,82.22,74,0,6.91,clear sky
59,Kaduqli,SD,11.0167,29.7167,80.38,34,10,8.48,clear sky
60,Qaanaaq,GL,77.484,-69.3632,-2.88,97,100,2.15,overcast clouds
61,Jamestown,US,42.097,-79.2353,35.29,81,100,1.01,overcast clouds
62,Henties Bay,NA,-22.116,14.2845,63.86,85,100,7.2,overcast clouds
63,Chingola,ZM,-12.529,27.8838,62.01,99,100,4.63,light rain
64,Victoria,HK,22.2855,114.1577,62.26,79,100,1.99,overcast clouds
65,Evensk,RU,61.95,159.2333,0.27,80,100,7.2,overcast clouds
66,Dikson,RU,73.5069,80.5464,-2.94,91,100,19.48,overcast clouds
67,Norman Wells,CA,65.282,-126.8329,-11.16,64,75,2.3,broken clouds
68,Saint George,US,37.1041,-113.5841,60.35,29,0,1.01,clear sky
69,Chapais,CA,49.7834,-74.8492,-9.62,100,44,2.64,scattered clouds
70,Bhandaria,BD,22.4861,90.0609,62.91,84,91,4.56,overcast clouds
71,Geraldton,AU,-28.7667,114.6,75.61,64,100,18.41,overcast clouds
72,Bethel,US,41.3712,-73.414,32.81,72,0,0.0,clear sky
73,Shediac,CA,46.2198,-64.5411,30.83,93,100,4.61,light snow
74,Bredasdorp,ZA,-34.5322,20.0403,67.32,83,100,11.5,overcast clouds
75,Lamu,KE,-2.2717,40.902,77.05,85,90,10.71,overcast clouds
76,Codrington,AU,-38.2667,141.9667,86.04,42,54,8.63,light rain
77,Traralgon,AU,-38.1833,146.5333,79.9,50,14,8.81,few clouds
78,Port Alfred,ZA,-33.5906,26.891,70.48,87,90,13.98,overcast clouds
79,Hobbs,US,32.7026,-103.136,59.59,18,0,4.0,clear sky
80,Zhigalovo,RU,54.8097,105.1578,2.16,99,100,2.57,overcast clouds
81,Kearney,US,40.6995,-99.0815,50.99,35,20,7.0,few clouds
82,Walvis Bay,NA,-22.9575,14.5053,67.15,72,100,3.44,overcast clouds
83,Coquimbo,CL,-29.9533,-71.3436,63.7,85,22,4.97,few clouds
84,Vardo,NO,70.3705,31.1107,35.4,89,100,23.49,overcast clouds
85,Plyussa,RU,58.4308,29.3654,25.92,93,100,11.03,overcast clouds
86,Minab,IR,27.1467,57.0801,53.1,68,0,1.95,clear sky
87,Hereford,GB,52.0568,-2.7148,39.99,95,0,2.66,clear sky
88,Grindavik,IS,63.8424,-22.4338,34.27,80,75,31.07,light shower snow
89,Moose Factory,CA,51.2585,-80.6094,-13.0,77,0,5.75,clear sky
90,Oum Hadjer,TD,13.2954,19.6966,73.45,17,99,10.58,overcast clouds
91,Newton,US,42.337,-71.2092,37.11,57,100,3.0,overcast clouds
92,College,US,64.8569,-147.8028,15.22,83,75,0.0,broken clouds
93,Murdochville,CA,48.9583,-65.5006,4.08,90,100,1.9,overcast clouds
94,Pensacola,US,30.4213,-87.2169,55.85,71,0,3.44,clear sky
95,Kodiak,US,57.79,-152.4072,35.11,75,20,5.75,few clouds
96,Hilo,US,19.7297,-155.09,80.33,80,75,8.05,broken clouds
97,Myitkyina,MM,25.3833,97.4,57.63,98,100,2.04,overcast clouds
98,Pangnirtung,CA,66.1451,-65.7125,-22.61,78,94,4.09,overcast clouds
